Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2023,Calvert,MD,Passenger,1,2,3,90,93,3.23
September 30 2019,Benton,WA,Truck,0,0,0,42195,42195,0
June 30 2017,Maricopa,AZ,Passenger,1,2,3,1910,1913,0.16
December 31 2019,Kern,CA,Passenger,0,1,1,222,223,0.45
September 30 2019,Jefferson,CO,Passenger,0,2,2,65,67,2.99
March 31 2021,Fort Bend,TX,Passenger,1,0,1,43,44,2.27
January 31 2018,Santa Fe,NM,Passenger,0,1,1,49,50,2
March 31 2020,Okanogan,WA,Passenger,34,31,65,26044,26109,0.25
November 30 2021,Thurston,WA,Truck,0,0,0,55967,55967,0
January 31 2024,Lake,IN,Passenger,1,1,2,7,9,22.22
September 30 2021,Washington,OR,Passenger,1,0,1,441,442,0.23
December 31 2021,Shelby,OH,Passenger,0,1,1,4,5,20
June 30 2021,Palm Beach,FL,Passenger,1,1,2,86,88,2.27
October 31 2024,Yuba,CA,Truck,1,0,1,10,11,9.09
June 30 2024,Brown,WI,Passenger,1,0,1,6,7,14.29
May 31 2024,Whatcom,WA,Passenger,3310,1185,4495,147173,151668,2.96
February 28 2021,Washington,WI,Passenger,1,0,1,3,4,25
July 31 2025,Houston,GA,Passenger,1,0,1,26,27,3.7
August 31 2022,Maui,HI,Passenger,2,0,2,27,29,6.9
July 31 2024,Hudson,NJ,Passenger,4,0,4,43,47,8.51
November 30 2025,Stanislaus,CA,Truck,1,0,1,12,13,7.69
July 31 2018,Adams,WA,Passenger,5,5,10,12628,12638,0.08
December 31 2020,Charleston,SC,Passenger,2,0,2,100,102,1.96
September 30 2023,Lexington,SC,Passenger,2,0,2,23,25,8
February 28 2023,Ulster,NY,Passenger,1,0,1,17,18,5.56
September 30 2024,Chelan,WA,Passenger,949,269,1218,53997,55215,2.21
May 31 2019,Asotin,WA,Truck,0,0,0,6648,6648,0
January 31 2020,Dakota,MN,Passenger,0,1,1,36,37,2.7
April 30 2018,Clark,WA,Truck,0,0,0,78689,78689,0
November 30 2025,Wake,NC,Passenger,2,0,2,83,85,2.35
May 31 2018,Prince George's,MD,Passenger,1,1,2,194,196,1.02
November 30 2019,Wayne,MI,Passenger,0,1,1,64,65,1.54
June 30 2018,Maui,HI,Passenger,1,0,1,56,57,1.75
July 31 2021,King,WA,Truck,5,1,6,184054,184060,0
June 30 2023,Penobscot,ME,Passenger,0,1,1,7,8,12.5
March 31 2020,Harris,TX,Passenger,1,0,1,302,303,0.33
June 30 2025,Asotin,WA,Truck,5,0,5,6537,6542,0.08
January 31 2023,Williamson,TX,Passenger,0,2,2,114,116,1.72
September 30 2023,Hamilton,OH,Truck,1,0,1,1,2,50
December 31 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
May 31 2024,Marin,CA,Truck,1,0,1,8,9,11.11
August 31 2025,St. Clair,IL,Passenger,1,2,3,95,98,3.06
September 30 2018,Palm Beach,FL,Passenger,0,2,2,95,97,2.06
March 31 2025,Sussex,NJ,Passenger,1,0,1,0,1,100
January 31 2019,Virginia Beach,VA,Passenger,2,1,3,696,699,0.43
February 28 2017,Whatcom,WA,Truck,2,0,2,41306,41308,0
August 31 2018,Stevens,WA,Passenger,12,26,38,31668,31706,0.12
August 31 2020,Clark,WA,Truck,0,0,0,82635,82635,0
February 28 2017,Lincoln,WA,Truck,0,0,0,4457,4457,0
April 30 2025,Jefferson,LA,Passenger,1,0,1,25,26,3.85
July 31 2024,Kings,NY,Passenger,3,1,4,60,64,6.25
September 30 2024,Marion,OR,Passenger,1,0,1,86,87,1.15
December 31 2022,Penobscot,ME,Passenger,0,2,2,10,12,16.67
October 31 2020,Carroll,MD,Passenger,0,1,1,21,22,4.55
February 28 2022,Clallam,WA,Truck,1,0,1,22067,22068,0
January 31 2026,Forsyth,GA,Passenger,1,0,1,6,7,14.29
February 28 2023,Moore,NC,Passenger,1,1,2,140,142,1.41
April 30 2020,Collier,FL,Passenger,1,0,1,27,28,3.57
June 30 2018,Eagle,CO,Passenger,1,0,1,7,8,12.5
July 31 2020,Lee,FL,Passenger,1,0,1,61,62,1.61
August 31 2024,Montgomery,AL,Passenger,1,1,2,27,29,6.9
February 28 2026,Loudoun,VA,Passenger,1,1,2,37,39,5.13
November 30 2021,Miami-Dade,FL,Passenger,1,0,1,122,123,0.81
October 31 2022,Norfolk,MA,Passenger,1,1,2,32,34,5.88
August 31 2023,Collin,TX,Passenger,9,0,9,81,90,10
March 31 2023,Skagit,WA,Truck,17,0,17,31939,31956,0.05
December 31 2025,Cochise,AZ,Passenger,1,0,1,51,52,1.92
May 31 2020,Monroe,IL,Passenger,1,0,1,3,4,25
September 30 2023,Henrico,VA,Passenger,1,2,3,22,25,12
September 30 2022,Providence,RI,Passenger,1,0,1,21,22,4.55
August 31 2022,Galveston,TX,Passenger,1,1,2,20,22,9.09
April 30 2021,Carroll,MD,Passenger,0,1,1,21,22,4.55
December 31 2020,Leavenworth,KS,Passenger,0,1,1,108,109,0.92
February 29 2020,Whitman,WA,Truck,0,0,0,8551,8551,0
October 31 2021,Placer,CA,Passenger,2,0,2,92,94,2.13
December 31 2025,Prince George's,MD,Passenger,4,1,5,101,106,4.72
May 31 2023,El Paso,TX,Passenger,3,1,4,380,384,1.04
February 28 2019,Lewis,WA,Passenger,95,86,181,58277,58458,0.31
July 31 2025,Montgomery,OH,Passenger,0,1,1,41,42,2.38
October 31 2024,Sarpy,NE,Truck,1,0,1,21,22,4.55
March 31 2023,New York,NY,Passenger,3,0,3,45,48,6.25
November 30 2021,Escambia,FL,Passenger,0,1,1,156,157,0.64
February 28 2022,Montgomery,TX,Passenger,2,0,2,51,53,3.77
February 28 2025,McLennan,TX,Passenger,1,0,1,11,12,8.33
June 30 2025,Kent,RI,Passenger,1,0,1,14,15,6.67
January 31 2024,Dallas,TX,Passenger,2,0,2,127,129,1.55
September 30 2022,Hampton,VA,Passenger,1,0,1,103,104,0.96
December 31 2025,Webb,TX,Passenger,1,0,1,3,4,25
August 31 2025,San Bernardino,CA,Passenger,5,1,6,334,340,1.76
December 31 2024,Multnomah,OR,Passenger,12,2,14,527,541,2.59
September 30 2020,El Paso,TX,Passenger,3,0,3,423,426,0.7
August 31 2021,Whitman,WA,Truck,0,0,0,8565,8565,0
October 31 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
December 31 2021,Fairfax,VA,Passenger,7,4,11,735,746,1.47
March 31 2019,Jefferson,WA,Passenger,179,118,297,24856,25153,1.18
November 30 2021,Montgomery,AL,Passenger,1,0,1,36,37,2.7
August 31 2018,Manatee,FL,Passenger,1,0,1,45,46,2.17
July 31 2021,Lake,FL,Passenger,1,0,1,30,31,3.23
April 30 2018,Hamilton,TN,Passenger,1,0,1,25,26,3.85
March 31 2023,Pierce,WA,Truck,126,0,126,137615,137741,0.09
June 30 2024,,,Passenger,9,4,13,342,355,3.66
September 30 2021,Island,WA,Passenger,661,328,989,62745,63734,1.55
December 31 2020,Norfolk,VA,Passenger,2,3,5,324,329,1.52
December 31 2024,Greene,OH,Passenger,1,0,1,26,27,3.7
October 31 2022,Rockingham,VA,Passenger,1,0,1,2,3,33.33
July 31 2019,Putnam,TN,Passenger,0,1,1,4,5,20
December 31 2022,Whitman,WA,Truck,3,0,3,8624,8627,0.03
June 30 2021,Norfolk,VA,Passenger,2,3,5,323,328,1.52
December 31 2020,Pima,AZ,Passenger,2,1,3,401,404,0.74
May 31 2025,Baldwin,AL,Passenger,1,0,1,20,21,4.76
January 31 2026,Pima,AZ,Passenger,1,0,1,145,146,0.68
July 31 2025,Bernalillo,NM,Passenger,1,0,1,64,65,1.54
August 31 2025,Fresno,CA,Passenger,1,1,2,116,118,1.69
August 31 2024,Bannock,ID,Passenger,1,0,1,8,9,11.11
April 30 2023,Snohomish,WA,Passenger,11669,2929,14598,527063,541661,2.7
October 31 2023,Asotin,WA,Passenger,40,25,65,12210,12275,0.53
January 31 2017,Lake,IL,Passenger,1,0,1,192,193,0.52
November 30 2020,Pierce,WA,Truck,0,0,0,144310,144310,0
February 28 2021,Washington,OR,Passenger,1,0,1,469,470,0.21
July 31 2023,Beaufort,SC,Passenger,2,0,2,42,44,4.55
July 31 2023,Hamilton,IN,Passenger,1,0,1,31,32,3.12
July 31 2018,Island,WA,Truck,0,0,0,20954,20954,0
May 31 2024,Osceola,FL,Passenger,1,0,1,31,32,3.12
September 30 2024,Calhoun,AL,Passenger,0,1,1,4,5,20
March 31 2023,Essex,NJ,Passenger,1,0,1,11,12,8.33
April 30 2019,Santa Clara,CA,Passenger,9,1,10,406,416,2.4
October 31 2019,Jefferson,WA,Truck,0,0,0,9666,9666,0
August 31 2025,Walla Walla,WA,Passenger,448,223,671,35359,36030,1.86
September 30 2023,Jefferson,NY,Passenger,2,3,5,189,194,2.58
September 30 2022,San Mateo,CA,Passenger,3,1,4,121,125,3.2
December 31 2020,Calvert,MD,Passenger,0,2,2,95,97,2.06
June 30 2023,Greene,OH,Passenger,1,0,1,31,32,3.12
December 31 2020,Dallas,IA,Passenger,0,1,1,12,13,7.69
December 31 2018,Portsmouth,VA,Passenger,0,1,1,79,80,1.25
April 30 2024,Escambia,FL,Truck,1,0,1,25,26,3.85
September 30 2023,St. Lawrence,NY,Passenger,1,2,3,7,10,30
February 28 2021,Hawaii,HI,Passenger,1,0,1,61,62,1.61
April 30 2023,Arlington,VA,Passenger,5,0,5,141,146,3.42
December 31 2024,Fort Bend,TX,Passenger,2,0,2,19,21,9.52
April 30 2025,Chelan,WA,Truck,90,0,90,22884,22974,0.39
January 31 2017,Wahkiakum,WA,Truck,0,0,0,1624,1624,0
May 31 2025,Columbia,WA,Passenger,14,3,17,2381,2398,0.71
August 31 2021,Nassau,NY,Passenger,3,0,3,37,40,7.5
September 30 2019,San Juan,WA,Passenger,229,73,302,14414,14716,2.05
January 31 2020,Island,WA,Truck,1,0,1,21309,21310,0
February 28 2018,Fresno,CA,Passenger,1,0,1,212,213,0.47
December 31 2025,Milwaukee,WI,Passenger,1,1,2,37,39,5.13
November 30 2019,Jones,GA,Passenger,1,0,1,0,1,100
June 30 2020,Lincoln,WA,Truck,0,0,0,4615,4615,0
March 31 2023,Tarrant,TX,Passenger,2,0,2,153,155,1.29
May 31 2022,Monroe,NY,Passenger,1,0,1,27,28,3.57
October 31 2017,Spokane,WA,Passenger,286,238,524,298743,299267,0.18
May 31 2023,Palm Beach,FL,Passenger,3,1,4,69,73,5.48
August 31 2025,Sussex,NJ,Passenger,1,0,1,0,1,100
November 30 2019,Middlesex,MA,Passenger,1,0,1,119,120,0.83
February 29 2024,Kings,NY,Passenger,4,0,4,63,67,5.97
April 30 2024,Asotin,WA,Passenger,46,24,70,12146,12216,0.57
April 30 2019,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12
August 31 2025,Travis,TX,Passenger,4,1,5,73,78,6.41
January 31 2018,Latah,ID,Passenger,0,1,1,82,83,1.2
March 31 2020,Twin Falls,ID,Passenger,0,2,2,32,34,5.88
June 30 2021,San Bernardino,CA,Passenger,1,0,1,415,416,0.24
August 31 2019,Douglas,WA,Truck,0,0,0,12254,12254,0
November 30 2019,New London,CT,Passenger,0,1,1,240,241,0.41
July 31 2025,Virginia Beach,VA,Passenger,6,2,8,422,430,1.86
July 31 2023,Washington,OR,Passenger,3,1,4,336,340,1.18
June 30 2022,Greene,MO,Passenger,0,1,1,33,34,2.94
September 30 2022,Mercer,NJ,Passenger,0,1,1,16,17,5.88
July 31 2025,Okaloosa,FL,Passenger,3,2,5,78,83,6.02
December 31 2023,San Benito,CA,Passenger,1,0,1,8,9,11.11
May 31 2023,Utah,UT,Passenger,1,0,1,123,124,0.81
January 31 2024,Montgomery,MD,Passenger,6,3,9,216,225,4
August 31 2024,Yuba,CA,Passenger,1,0,1,56,57,1.75
February 28 2025,Liberty,GA,Passenger,0,1,1,94,95,1.05
February 28 2026,Arlington,VA,Passenger,3,0,3,100,103,2.91
August 31 2023,Tarrant,TX,Passenger,2,0,2,151,153,1.31
February 28 2026,Prince William,VA,Passenger,2,2,4,123,127,3.15
January 31 2023,Lewis,WA,Truck,2,0,2,26227,26229,0.01
June 30 2023,Cook,IL,Passenger,6,1,7,247,254,2.76
January 31 2025,Loudoun,VA,Truck,1,0,1,7,8,12.5
November 30 2021,Philadelphia,PA,Passenger,1,0,1,64,65,1.54
June 30 2023,Fort Bend,TX,Passenger,1,0,1,31,32,3.12
February 28 2026,Dale,AL,Passenger,1,0,1,37,38,2.63
August 31 2025,Nueces,TX,Passenger,2,0,2,46,48,4.17
September 30 2020,Columbia,WA,Passenger,4,3,7,2419,2426,0.29
June 30 2022,Richland,SC,Passenger,0,1,1,159,160,0.62
June 30 2020,Klickitat,WA,Truck,0,0,0,8093,8093,0
January 31 2024,District of Columbia,DC,Truck,1,0,1,14,15,6.67
February 28 2023,Mohave,AZ,Passenger,1,0,1,69,70,1.43
October 31 2025,Cumberland,NC,Passenger,3,0,3,296,299,1
August 31 2025,Arlington,VA,Passenger,4,0,4,109,113,3.54
August 31 2019,Camden,NJ,Passenger,0,1,1,22,23,4.35
April 30 2022,Baltimore,MD,Passenger,3,0,3,92,95,3.16
March 31 2023,Montgomery,AL,Passenger,1,0,1,34,35,2.86
May 31 2024,Lee,AL,Passenger,1,0,1,19,20,5
September 30 2020,Walla Walla,WA,Truck,0,0,0,13768,13768,0
May 31 2025,Centre,PA,Passenger,1,0,1,9,10,10
March 31 2023,Albemarle,VA,Passenger,2,0,2,18,20,10
September 30 2025,Marin,CA,Truck,1,0,1,6,7,14.29
September 30 2023,Madison,IL,Passenger,2,0,2,19,21,9.52
February 29 2024,St. Charles,MO,Passenger,0,1,1,37,38,2.63
July 31 2019,Boulder,CO,Passenger,1,0,1,57,58,1.72
May 31 2020,Ventura,CA,Passenger,1,1,2,317,319,0.63
August 31 2025,Snohomish,WA,Passenger,26725,5228,31953,523511,555464,5.75
August 31 2024,Arapahoe,CO,Passenger,2,1,3,90,93,3.23
March 31 2025,Christian,MO,Passenger,0,1,1,9,10,10
December 31 2024,DuPage,IL,Truck,1,0,1,7,8,12.5
December 31 2023,Pacific,WA,Passenger,95,100,195,15459,15654,1.25
April 30 2019,Goochland,VA,Passenger,1,1,2,264,266,0.75
November 30 2021,Tom Green,TX,Passenger,0,1,1,25,26,3.85
March 31 2021,Skamania,WA,Truck,0,0,0,4023,4023,0
September 30 2019,Harnett,NC,Passenger,1,1,2,217,219,0.91
April 30 2024,Utah,UT,Passenger,3,0,3,113,116,2.59
November 30 2019,Pend Oreille,WA,Truck,0,0,0,5724,5724,0
June 30 2021,Kitsap,WA,Truck,0,0,0,54339,54339,0
September 30 2024,Hall,GA,Passenger,1,0,1,13,14,7.14
March 31 2021,Hillsborough,FL,Passenger,0,1,1,172,173,0.58
December 31 2023,Washington,OR,Passenger,3,1,4,307,311,1.29
September 30 2020,Wilson,TX,Passenger,0,1,1,6,7,14.29
January 31 2019,District of Columbia,DC,Passenger,1,3,4,185,189,2.12
September 30 2023,Yolo,CA,Passenger,3,0,3,33,36,8.33
November 30 2024,Jackson,MS,Passenger,1,0,1,18,19,5.26
March 31 2017,Dakota,MN,Passenger,0,1,1,44,45,2.22
November 30 2024,York,VA,Passenger,3,0,3,81,84,3.57
June 30 2020,Stevens,WA,Passenger,36,33,69,30603,30672,0.22
March 31 2017,Island,WA,Truck,0,0,0,20481,20481,0
October 31 2023,Spokane,WA,Passenger,2657,1293,3950,320975,324925,1.22
February 28 2025,Philadelphia,PA,Passenger,0,1,1,59,60,1.67
August 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100
July 31 2025,Sacramento,CA,Passenger,4,0,4,170,174,2.3
January 31 2018,Mercer,NJ,Passenger,0,1,1,17,18,5.56
September 30 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
December 31 2018,Columbia,WA,Truck,0,0,0,1518,1518,0
March 31 2021,Dallas,TX,Passenger,1,0,1,201,202,0.5
February 28 2019,Walla Walla,WA,Passenger,43,53,96,36032,36128,0.27
March 31 2019,Stevens,WA,Truck,0,0,0,18690,18690,0
December 31 2018,Bexar,TX,Passenger,3,4,7,733,740,0.95
September 30 2024,Clallam,WA,Passenger,838,375,1213,48457,49670,2.44
June 30 2023,Multnomah,OR,Passenger,6,3,9,629,638,1.41
November 30 2021,Pulaski,MO,Passenger,2,0,2,139,141,1.42
October 31 2021,Okanogan,WA,Truck,0,0,0,16648,16648,0
May 31 2020,DeKalb,GA,Passenger,2,0,2,87,89,2.25
November 30 2021,Broward,FL,Passenger,2,0,2,116,118,1.69
September 30 2024,Travis,TX,Passenger,5,2,7,102,109,6.42
November 30 2025,Chelan,WA,Truck,108,0,108,22470,22578,0.48
September 30 2018,Clark,NV,Passenger,2,3,5,822,827,0.6
August 31 2017,Montgomery,TN,Passenger,1,0,1,276,277,0.36
January 31 2018,Montgomery,MD,Passenger,1,1,2,314,316,0.63
May 31 2021,San Mateo,CA,Passenger,2,0,2,139,141,1.42
March 31 2020,Osceola,FL,Passenger,1,0,1,53,54,1.85
December 31 2022,Monroe,NY,Passenger,1,0,1,26,27,3.7
September 30 2019,Grays Harbor,WA,Passenger,89,89,178,48064,48242,0.37
September 30 2020,Nassau,NY,Passenger,5,0,5,35,40,12.5
December 31 2024,Tooele,UT,Passenger,1,0,1,9,10,10
February 28 2019,Adams,WA,Truck,0,0,0,5105,5105,0
February 28 2026,Kitsap,WA,Truck,357,0,357,49536,49893,0.72
December 31 2017,Skamania,WA,Truck,0,0,0,3895,3895,0
December 31 2021,Clallam,WA,Passenger,383,240,623,50297,50920,1.22
October 31 2025,Lewis,WA,Truck,36,0,36,25596,25632,0.14
May 31 2021,Suffolk,VA,Passenger,1,0,1,132,133,0.75
February 28 2026,York,VA,Passenger,4,0,4,64,68,5.88
February 29 2024,Schuylkill,PA,Passenger,1,0,1,2,3,33.33
March 31 2021,Alexandria,VA,Passenger,3,0,3,139,142,2.11
April 30 2019,Maricopa,AZ,Passenger,6,5,11,1779,1790,0.61
February 28 2022,Mason,WA,Passenger,278,163,441,47616,48057,0.92
May 31 2023,Umatilla,OR,Passenger,0,1,1,65,66,1.52
December 31 2023,Franklin,WA,Passenger,381,161,542,62212,62754,0.86
November 30 2025,St. Mary's,MD,Passenger,2,1,3,177,180,1.67
December 31 2024,Atlantic,NJ,Passenger,1,0,1,7,8,12.5
June 30 2019,Jefferson,NY,Passenger,0,1,1,210,211,0.47
November 30 2023,Salt Lake,UT,Passenger,5,2,7,166,173,4.05
March 31 2024,Dallas,TX,Truck,1,0,1,20,21,4.76
October 31 2019,Ferry,WA,Truck,0,0,0,3578,3578,0
July 31 2022,Sedgwick,KS,Passenger,0,1,1,84,85,1.18
July 31 2024,Canadian,OK,Passenger,1,0,1,13,14,7.14
December 31 2022,Prince William,VA,Passenger,0,4,4,205,209,1.91
March 31 2024,Washington,AR,Passenger,0,1,1,8,9,11.11
February 28 2026,Snohomish,WA,Passenger,28119,5416,33535,504228,537763,6.24
December 31 2023,Pierce,WA,Passenger,9411,3195,12606,522774,535380,2.35
October 31 2025,Kittitas,WA,Passenger,764,195,959,29305,30264,3.17
April 30 2017,Salt Lake,UT,Passenger,1,1,2,297,299,0.67
March 31 2022,Columbia,WA,Truck,0,0,0,1584,1584,0
March 31 2023,Botetourt,VA,Passenger,1,0,1,0,1,100
October 31 2022,Kootenai,ID,Passenger,2,2,4,214,218,1.83
October 31 2018,Santa Clara,CA,Passenger,8,0,8,416,424,1.89
January 31 2023,Cumberland,NC,Passenger,0,2,2,381,383,0.52
August 31 2022,Mohave,AZ,Passenger,1,0,1,71,72,1.39
June 30 2021,Jefferson,WA,Passenger,330,185,515,24841,25356,2.03
June 30 2019,Travis,TX,Passenger,4,1,5,230,235,2.13
November 30 2022,Arlington,VA,Passenger,4,0,4,142,146,2.74
June 30 2025,Jefferson,AL,Passenger,1,0,1,19,20,5
June 30 2021,Prince William,VA,Passenger,1,3,4,226,230,1.74
February 28 2025,Spokane,WA,Passenger,4412,1959,6371,320360,326731,1.95
September 30 2020,Contra Costa,CA,Passenger,5,4,9,285,294,3.06
October 31 2022,New York,NY,Passenger,3,0,3,47,50,6
May 31 2020,Yakima,WA,Passenger,131,117,248,164884,165132,0.15
October 31 2022,Fairfax,VA,Passenger,12,3,15,701,716,2.09
March 31 2025,Meade,KY,Passenger,2,0,2,18,20,10
January 31 2018,Montgomery,TX,Passenger,1,0,1,66,67,1.49
March 31 2025,Clallam,WA,Passenger,949,433,1382,48469,49851,2.77
July 31 2018,Pierce,WA,Truck,0,0,0,137964,137964,0
March 31 2020,Garfield,WA,Truck,0,0,0,975,975,0
September 30 2018,Lane,OR,Passenger,0,1,1,188,189,0.53
February 29 2024,Bartow,GA,Passenger,0,1,1,2,3,33.33
December 31 2024,Hennepin,MN,Passenger,0,2,2,53,55,3.64
March 31 2023,Pulaski,MO,Passenger,3,0,3,129,132,2.27
March 31 2024,Nueces,TX,Passenger,2,0,2,64,66,3.03
November 30 2022,San Bernardino,CA,Passenger,3,1,4,398,402,1
April 30 2024,Monroe,NY,Passenger,1,0,1,22,23,4.35
May 31 2019,Garfield,WA,Passenger,1,1,2,1292,1294,0.15
May 31 2021,Travis,TX,Passenger,4,3,7,217,224,3.12
September 30 2023,Fresno,CA,Passenger,1,0,1,171,172,0.58
June 30 2024,Clackamas,OR,Passenger,4,2,6,143,149,4.03
November 30 2018,Montgomery,TX,Passenger,2,0,2,70,72,2.78
September 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
September 30 2021,Ferry,WA,Truck,0,0,0,3593,3593,0
February 28 2025,James City,VA,Passenger,1,0,1,32,33,3.03
March 31 2024,Pima,AZ,Passenger,2,0,2,233,235,0.85
October 31 2023,Chelan,WA,Passenger,708,196,904,54079,54983,1.64
August 31 2024,Thurston,WA,Truck,165,0,165,53042,53207,0.31
November 30 2025,Baltimore,MD,Passenger,1,0,1,67,68,1.47
August 31 2019,Volusia,FL,Passenger,0,1,1,42,43,2.33
October 31 2022,Monmouth,NJ,Passenger,1,0,1,24,25,4
July 31 2023,Liberty,GA,Passenger,0,1,1,111,112,0.89
September 30 2017,Dallas,TX,Passenger,0,1,1,191,192,0.52
November 30 2021,Maricopa,AZ,Passenger,14,7,21,1561,1582,1.33
February 28 2022,Kitsap,WA,Truck,0,0,0,53885,53885,0
November 30 2023,Pierce,WA,Truck,224,0,224,134529,134753,0.17
March 31 2017,Tulare,CA,Passenger,1,0,1,197,198,0.51
July 31 2023,Yavapai,AZ,Passenger,0,1,1,37,38,2.63
November 30 2023,Bergen,NJ,Passenger,1,0,1,15,16,6.25
March 31 2024,Skagit,WA,Passenger,1424,514,1938,88090,90028,2.15
September 30 2024,Nassau,NY,Passenger,2,0,2,26,28,7.14
June 30 2024,Douglas,CO,Passenger,2,3,5,63,68,7.35
April 30 2024,Mercer,NJ,Passenger,0,1,1,11,12,8.33
February 28 2018,Nassau,NY,Passenger,1,0,1,39,40,2.5
November 30 2019,Kitsap,WA,Truck,1,0,1,54353,54354,0
October 31 2021,Prince William,VA,Passenger,1,3,4,223,227,1.76
April 30 2018,Whatcom,WA,Truck,2,0,2,42100,42102,0
October 31 2017,Grant,WA,Passenger,20,33,53,61655,61708,0.09
September 30 2023,St. Mary's,MD,Passenger,2,0,2,214,216,0.93
May 31 2025,Larimer,CO,Passenger,2,0,2,30,32,6.25
May 31 2023,Platte,MO,Passenger,1,1,2,22,24,8.33
January 31 2021,Davidson,TN,Passenger,1,0,1,84,85,1.18
May 31 2025,Arapahoe,CO,Passenger,1,1,2,71,73,2.74
February 28 2019,Suffolk,MA,Passenger,0,1,1,44,45,2.22
January 31 2020,Alexandria,VA,Passenger,1,0,1,146,147,0.68
July 31 2023,Clark,NV,Passenger,10,4,14,622,636,2.2
January 31 2025,Guam,GU,Passenger,0,1,1,32,33,3.03
June 30 2024,Tompkins,NY,Passenger,1,0,1,14,15,6.67
March 31 2023,Nassau,NY,Passenger,3,0,3,35,38,7.89
November 30 2023,Prince George,VA,Passenger,1,0,1,64,65,1.54
October 31 2022,Flathead,MT,Passenger,1,0,1,45,46,2.17
September 30 2024,Orange,NC,Passenger,1,0,1,7,8,12.5
September 30 2019,Stafford,VA,Passenger,1,1,2,106,108,1.85
June 30 2019,Garfield,WA,Truck,0,0,0,964,964,0
August 31 2025,Columbia,WA,Passenger,13,4,17,2361,2378,0.71
February 28 2023,Solano,CA,Passenger,3,1,4,182,186,2.15
February 28 2025,Harris,TX,Passenger,4,2,6,163,169,3.55
October 31 2022,Newport,RI,Passenger,0,2,2,73,75,2.67
November 30 2023,Jefferson,AL,Passenger,1,0,1,22,23,4.35
August 31 2021,Tarrant,TX,Passenger,2,0,2,190,192,1.04
September 30 2023,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
March 31 2025,Hudson,NJ,Passenger,3,0,3,34,37,8.11
August 31 2025,Kittitas,WA,Passenger,727,182,909,29453,30362,2.99
October 31 2022,Skamania,WA,Truck,0,0,0,3894,3894,0
February 29 2024,Columbia,WA,Passenger,12,0,12,2391,2403,0.5
May 31 2024,Kootenai,ID,Passenger,4,4,8,172,180,4.44
April 30 2023,Orange,FL,Passenger,2,0,2,113,115,1.74
February 28 2023,Yavapai,AZ,Passenger,0,1,1,41,42,2.38
June 30 2018,Kauai,HI,Passenger,1,0,1,17,18,5.56
July 31 2025,Honolulu,HI,Passenger,2,1,3,268,271,1.11
July 31 2022,Norfolk,VA,Passenger,2,3,5,299,304,1.64
July 31 2024,Prince William,VA,Passenger,3,5,8,157,165,4.85
July 31 2025,Jefferson,LA,Passenger,1,0,1,24,25,4
July 31 2018,Franklin,MA,Passenger,0,1,1,2,3,33.33
November 30 2024,Whatcom,WA,Truck,147,0,147,42238,42385,0.35
July 31 2021,Eagle,CO,Passenger,1,0,1,8,9,11.11
October 31 2017,Bexar,TX,Passenger,1,1,2,841,843,0.24
June 30 2024,Rockingham,NH,Passenger,2,0,2,18,20,10
December 31 2023,Medina,OH,Passenger,1,0,1,4,5,20
January 31 2022,Tarrant,TX,Passenger,3,0,3,191,194,1.55
September 30 2019,Polk,FL,Passenger,1,0,1,79,80,1.25
December 31 2023,Sacramento,CA,Passenger,2,1,3,222,225,1.33
October 31 2024,Douglas,WA,Passenger,340,107,447,29140,29587,1.51
August 31 2023,Yellowstone,MT,Passenger,0,1,1,35,36,2.78
September 30 2017,Twin Falls,ID,Passenger,0,1,1,24,25,4
January 31 2017,District of Columbia,DC,Passenger,0,3,3,225,228,1.32
January 31 2019,Brevard,FL,Passenger,0,1,1,99,100,1
November 30 2024,Lincoln,WA,Truck,1,0,1,4750,4751,0.02
May 31 2021,Chatham,NC,Passenger,1,0,1,9,10,10
November 30 2022,Olmsted,MN,Passenger,1,0,1,13,14,7.14
July 31 2021,Kitsap,WA,Passenger,1907,870,2777,180014,182791,1.52
October 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
April 30 2020,Denton,TX,Passenger,1,0,1,116,117,0.85
April 30 2025,Madison,IL,Passenger,1,0,1,9,10,10
October 31 2025,Ferry,WA,Passenger,34,12,46,4160,4206,1.09
December 31 2020,Douglas,NE,Passenger,0,1,1,59,60,1.67
August 31 2019,Placer,CA,Passenger,1,0,1,110,111,0.9
June 30 2025,Loudoun,VA,Passenger,2,1,3,52,55,5.45
November 30 2021,Spokane,WA,Truck,0,0,0,102461,102461,0
August 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.7
May 31 2025,Madison,AL,Passenger,3,0,3,44,47,6.38
November 30 2022,Jefferson,WA,Truck,5,0,5,9367,9372,0.05
